instruction,type
push the blue cylinder toward the table,push
put the red box on the right side,place
take the red box from the table,pick
drag the green cylinder to the center,pull
hoist the yellow box up,lift
pick the green cylinder,pick
descend the blue box to the right side,lower
push the red sphere to the table,push
lift the red box off the table,lift
draw the blue cylinder toward the corner,pull
lower the red box to the center,lower
lift the red sphere up,lift
set the blue sphere down on the right side,lower
push the yellow cylinder toward the corner,push
go to the edge of the table,move
push the blue box toward the center,push
place the yellow box on the right side,place
put the red box on the center,place
draw the red cylinder toward the corner,pull
move the arm to home position,move
set the red box down on the left side,lower
grab the yellow box,pick
pull the blue box to the left side,pull
put the red box on the table,place
go to the corner,move
hoist the green sphere up,lift
navigate to the corner,move
