instruction,type,source
reset the environment,reset,manual
lay the blue block flat on the surface,put,manual
shove the red cube to the left side,push,generated
put the red cube back to start,reset,generated
put the blue block on the table please,put,manual
group all balls together near the center,sort,manual
shove the red cube to the center,push,generated
set the red cube on the left side,put,generated
rotate the orange block 90 degrees clockwise,rotate,manual
organize the objects by shape,sort,manual
stack the red cube on the red block,stack,generated
move to the right side avoiding the red cube,avoid,generated
put everything back to its original place,reset,manual
move toward the wall without hitting anything,avoid,manual
sort all objects by shape into groups,sort,manual
flip the red cube to the right side,rotate,generated
group all red bottles together,sort,generated
shove the red cube to the right side,push,generated
push the red cube to the table,push,generated
flip the red block to the table,rotate,generated
get me the blue object near the edge,pick,manual
find the red bottle,find,generated
flip the red cube to the shelf,rotate,generated
take the blue block on the left,pick,manual
separate green objects from yellow objects,sort,manual
arrange the red objects on the right side,sort,generated
push the green sphere away,push,manual
group the red objects together,sort,manual
spot the red cube,find,generated
sort the red objects to the right side,sort,generated
approach the left side,move,generated
go to the center,move,generated
flip the green cube upside down,rotate,manual
sort the red objects to the shelf,sort,generated
pick the red cube,pick,generated
put the arm back to home,reset,manual
stack the red cube on the red sphere,stack,generated
search for the red cylinder,find,generated
search for the red sphere,find,generated
move toward the box,move,manual
take the red ball,pick,generated
search for the red cube on the floor,find,manual
put the red cube on the table,put,generated
sort all cylinders to the right side,sort,manual
drop the red cube on the table,put,manual
identify the red block,find,generated
identify the red cube,find,generated
spin the red cube to face left,rotate,manual
search for the blue object,find,manual
navigate to the table,move,generated
sort the red objects to the left side,sort,generated
lift the red block,pick,generated
go to the far end,move,manual
reset to starting state,reset,manual
stack the red block on the yellow sphere,stack,manual
approach the center,move,generated
slide the blue sphere forward gently,push,manual
set the red cube on the shelf,put,generated
pick up the small blue ball,pick,manual
pick the large red object,pick,manual
stack the green block on the blue sphere,stack,manual
push the green ball toward the edge,push,manual
recognize the green cube on the left,find,manual
reset the red block to start,reset,generated
shove the red cube to the shelf,push,generated
stack the yellow cube on the red block,stack,manual
place the orange cube on top of the green block,stack,manual
get the green cube near the edge,pick,manual
find the blue object near the corner,find,manual
put the green cylinder on top of the red sphere,stack,manual
rotate the red cube counterclockwise,rotate,generated
retrieve the blue block on the left,pick,manual
go near the blue object,move,manual
grab the red cylinder,pick,generated
grab whichever block is blue,pick,manual
bring everything back to the beginning,reset,manual
approach the shelf without disturbing the blue ball,avoid,manual
take the red ball from the shelf,pick,manual
look for the red block on the right,find,manual
turn the blue cube to face right,rotate,manual
push the red cube away from you,push,manual
head to the right side,move,manual
separate the red blocks from the blue blocks,sort,manual
flip the red cube to the table,rotate,generated
get the red cube,pick,generated
turn the red block 90 degrees,rotate,generated
return the workspace to default,reset,manual
grab the red cube,pick,generated
fetch the red sphere from the corner,pick,manual
reset the scene,reset,manual
go to the center of the scene,move,manual
take the red sphere,pick,generated
deposit the blue cube on the left side,put,manual
put the red ball back to start,reset,generated
go to the edge of the table,move,manual
head toward the right corner,move,manual
place the red cube on the table,put,generated
approach the center while avoiding the orange cylinder,avoid,manual
drop the red cube on the left side,put,generated
head to the shelf,move,generated
approach the left corner while avoiding the green ball,avoid,manual
move to the corner avoiding the red cube,avoid,generated
put the red cube on the corner,put,generated
flip the red block upside down,rotate,manual
stack the red cube on the red cube,stack,generated
bring the arm back to neutral,reset,manual
move to the shelf,move,generated
approach the table without disturbing the red cube,avoid,manual
push the small green cube aside,push,manual
where is the large green cube?,find,manual
place the blue cube in the box,put,manual
put the red cylinder back to start,reset,generated
move to the table avoiding the red cube,avoid,generated
rotate the red cube 90 degrees,rotate,manual
put the blue cube on top of the red block,stack,manual
move closer to the wall,move,manual
spot the red cylinder,find,generated
approach the shelf,move,generated
slide the red cube to the shelf,push,generated
set the red ball on the shelf,put,manual
go to the right while keeping clear of the sphere,avoid,manual
go back to the default position,reset,manual
push the red cube to the right side,push,generated
locate the red cylinder,find,generated
put the small blue block on top,put,manual
set the green sphere down gently,put,manual
set the red block on the table,put,generated
search for the red cube,find,generated
push the blue sphere gently forward,push,manual
restore the red cube to initial position,reset,generated
move to the left while avoiding all obstacles,avoid,manual
stack the red cube on the blue block,stack,manual
move to the near side,move,manual
group the green objects on the shelf,sort,manual
place the red cube on top of the blue sphere,stack,generated
place the orange sphere on top of the yellow block,stack,manual
move to the right side without knocking objects over,avoid,manual
move to the right side avoiding the red block,avoid,generated
find the red cube,find,generated
approach the center while avoiding the green sphere,avoid,manual
find the red sphere,find,generated
go to the right side without touching the red cube,avoid,generated
stack the orange block on top of the green sphere,stack,manual
lift the red sphere,pick,generated
set the red cube on the corner,put,generated
head to the center,move,generated
navigate around the obstacles to reach the left side,avoid,manual
find the red cylinder,find,generated
spin the red block around,rotate,generated
put the red cube on top of the red ball,stack,generated
shove the red sphere aside,push,manual
navigate to the left corner,move,manual
nudge the red cube toward the center,push,generated
rotate the red block counterclockwise,rotate,generated
collect the green object near the wall,pick,manual
navigate to the right corner without touching objects,avoid,manual
separate the red cylinders from the rest,sort,generated
arrange the red objects on the corner,sort,generated
put the blue object down carefully,put,manual
put the green cube on the left side,put,manual
set the red cube on the table,put,generated
move to the table avoiding the red block,avoid,generated
set the red cube on the right side,put,generated
flip the red sphere to the left side,rotate,generated
I need you to lift the green block,pick,manual
navigate to the left side while avoiding the red cube,avoid,generated
head to the center carefully,move,manual
nudge the red cube toward the left side,push,generated
get the red sphere,pick,generated
group all small objects to the corner,sort,manual
place the green block on the right side,put,manual
bring the arm back to zero position,reset,manual
place the red cube on top of the blue block,stack,generated
reset all objects and arm to initial positions,reset,manual
place the red block on the table,put,generated
put the red cube on top of the blue block,stack,generated
rotate the yellow block counterclockwise,rotate,manual
move to the corner,move,generated
navigate to the corner while avoiding the red cube,avoid,generated
go to the corner,move,generated
flip the red sphere to the table,rotate,generated
stack the red cube on the red cylinder,stack,generated
reposition to the center of the workspace,move,manual
navigate to the center without touching the yellow cube,avoid,manual
slide the red cube to the corner,push,generated
navigate to the shelf,move,generated
find the red ball,find,generated
flip the red block to the center,rotate,generated
nudge the red cube toward the corner,push,generated
spin the orange sphere counterclockwise,rotate,manual
travel to the right end,move,manual
put the red cube on the right side,put,generated
look for the green sphere,find,manual
identify the red cylinder,find,generated
sort all red objects to the left side,sort,manual
stack the red cube on the blue sphere,stack,generated
go to the left side while avoiding the blue cube,avoid,manual
navigate to the center while avoiding the red cube,avoid,generated
navigate to the table while avoiding the red block,avoid,generated
stack the red cube on the red ball,stack,generated
go to the table,move,generated
separate the blue cubes from the green ones,sort,manual
locate the red cube on the table,find,manual
flip the blue block to its other side,rotate,manual
look for the red sphere on the left,find,manual
move to the left side,move,generated
turn the orange cube 90 degrees to the right,rotate,manual
put the red cube on top of the red cylinder,stack,generated
flip the red block to the corner,rotate,generated
go to the table without touching the red cube,avoid,generated
place the red cube on top of the red bottle,stack,generated
go to the corner while avoiding the yellow block,avoid,manual
place the red cube on top of the blue cube,stack,generated
move to the left side avoiding the red block,avoid,generated
separate the red blocks from the rest,sort,generated
move toward the center,move,manual
put the red cube on the left side,put,generated
separate the large objects from the small ones,sort,manual
flip the red cube to the center,rotate,generated
reset the red ball to start,reset,generated
put the red block back to start,reset,generated
spin the blue block counterclockwise,rotate,manual
spot the red block,find,generated
separate all cubes from all balls,sort,manual
set the red object down on the right,put,manual
move to the center,move,generated
drop the red cube on the corner,put,generated
place the green block on top of the red ball,stack,manual
search for the red block,find,generated
move to where the red block is,move,manual
go to the left end of the table,move,manual
sort the blue objects to the table,sort,generated
locate the red object on the shelf,find,manual
spin the green sphere around,rotate,manual
go to the left side without touching the red block,avoid,generated
head to the table,move,generated
place the red cube on top of the red ball,stack,generated
rotate the green cube to the left,rotate,manual
move the arm to home position,move,manual
move to the far end without hitting any objects,avoid,manual
sort the red objects to the table,sort,generated
move to the right side,move,generated
put all objects back where they started,reset,manual
pick the red cylinder,pick,generated
return to home position,reset,manual
slide the blue object to the right side,push,manual
put the red cube on top of the red sphere,stack,generated
nudge the red cube toward the right side,push,generated
search for the red ball,find,generated
place the red cube on the center,put,generated
navigate to the right side while avoiding the red cube,avoid,generated
put the blue cube next to the wall,put,manual
take the green block from the table,pick,manual
grab the red sphere,pick,generated
take the red cube,pick,generated
drop the red object near the wall,put,manual
go to the shelf,move,generated
navigate to the left side while avoiding the red block,avoid,generated
separate the red spheres from the rest,sort,generated
search for the green block nearby,find,manual
push the red cube to the corner,push,generated
slide the blue cube to the right,push,manual
locate the red ball,find,generated
return the red sphere to its original position,reset,generated
move to the left side avoiding the red cube,avoid,generated
place the red cube on the left side,put,generated
lift the red ball,pick,generated
restore the red bottle to initial position,reset,generated
rotate the red sphere clockwise,rotate,manual
identify the blue sphere in the scene,find,manual
place the red cube on top of the red sphere,stack,generated
pile the green block on top of the blue cube,stack,manual
spin the red block clockwise,rotate,manual
get the small red cube,pick,manual
stack the blue cylinder on the green cube,stack,manual
spin the red sphere around,rotate,generated
move to the table,move,manual
locate the red cube,find,generated
spin the red cube around,rotate,generated
can you find the blue cube?,find,manual
place the green object on the shelf,put,manual
shove the red cube to the corner,push,generated
put the red cube on top of the red bottle,stack,generated
find the green object near the wall,find,manual
slide the red ball to the left,push,manual
take the red cylinder,pick,generated
take the red block,pick,generated
put the red cylinder on top of the orange cube,stack,manual
separate the red cubes from the rest,sort,generated
find the red block,find,manual
turn the red sphere 90 degrees,rotate,generated
lift the red cube,pick,generated
rotate the yellow sphere 45 degrees,rotate,manual
locate the red block,find,generated
pile the red sphere on top of the blue block,stack,manual
place the red cube on top of the red cylinder,stack,generated
place the green cube to the left,put,manual
rotate the red cube clockwise,rotate,generated
navigate to the center,move,generated
push the large green block forward,push,manual
approach the right side,move,generated
approach the table,move,generated
return the red cube to its original position,reset,generated
can you pick up the red ball?,pick,manual
group all red cubes together,sort,generated
restore the arm to neutral position,reset,manual
shove the green cube to the left,push,manual
sort the blocks by color,sort,manual
lift the red sphere gently,pick,manual
leave the red block near the edge,put,manual
grab the red ball,pick,generated
go to the left side without touching the red cube,avoid,generated
restore the scene to initial layout,reset,manual
rotate the yellow cylinder clockwise,rotate,manual
find the small blue sphere,find,manual
place the red cube on top of the red block,stack,generated
flip the red cube to the corner,rotate,generated
flip the red cube to the left side,rotate,generated
sort the red objects to the corner,sort,generated
identify the red sphere,find,generated
detect the red object near the wall,find,manual
can you locate the red ball?,find,manual
put the red cube on top of the blue cube,stack,generated
reset all blocks to starting layout,reset,manual
place the green sphere on top of the red cube,stack,manual
return the red ball to its original position,reset,generated
restore the red sphere to initial position,reset,generated
arrange the objects by size,sort,manual
move to the table without hitting the red block,avoid,manual
pile the green cube on top of the blue block,stack,manual
locate the green ball near the edge,find,manual
set the red block near the edge,put,manual
get the red ball,pick,generated
find whichever object is green,find,manual
turn the blue block to face left,rotate,manual
place the red cube on the shelf,put,generated
sort the cylinders away from the spheres,sort,manual
stack the blue cube on the orange block,stack,manual
approach the left corner,move,manual
nudge the red ball toward the wall,push,manual
navigate to the shelf while avoiding the red cube,avoid,generated
grab the blue cube,pick,manual
flip the red block to the right side,rotate,generated
restore the red block to initial position,reset,generated
pick the red bottle,pick,generated
rotate the green cylinder 180 degrees,rotate,manual
slide the red cube to the left side,push,generated
scan for the green block nearby,find,manual
pick the red sphere,pick,generated
place the red cube on top of the yellow block,stack,manual
turn the red cube 90 degrees,rotate,generated
move to the corner avoiding the orange block,avoid,manual
push the red cube to the shelf,push,generated
group all red blocks together,sort,generated
restore the arm to starting position,reset,manual
shove the green sphere aside,push,manual
group all red cylinders together,sort,generated
put the blue sphere on top of the red cube,stack,manual
identify the red ball,find,generated
grab the large green block,pick,manual
arrange all large blocks on the left,sort,manual
slide the red cube to the center,push,generated
move to the shelf avoiding the red cube,avoid,generated
place the green sphere on the blue cube,stack,manual
put the blue sphere inside the box,put,manual
arrange the red objects on the table,sort,generated
return the red cylinder to its original position,reset,generated
go to the right side,move,generated
group all blue objects near the wall,sort,manual
return the red block to its original position,reset,generated
organize the objects from smallest to largest,sort,manual
spot the red ball,find,generated
knock the blue block to the left,push,manual
go to the shelf while keeping distance from blue objects,avoid,manual
push the red block forward,push,manual
return the arm to rest position,reset,manual
place the green sphere on the floor,put,manual
rotate the red sphere counterclockwise,rotate,generated
drop the red cube on the center,put,generated
return the red bottle to its original position,reset,generated
put the red cube on the center,put,generated
drop the red sphere on the left side,put,manual
give the blue cube a gentle push,push,manual
get the red cylinder,pick,generated
separate the red balls from the rest,sort,generated
locate the red sphere,find,generated
put the blue block on top of the green sphere,stack,manual
pick the blue object on the right,pick,manual
sort the yellow objects to the right side,sort,manual
put everything back to start,reset,manual
place the green cube inside the container,put,manual
place the red cube on top of the red cube,stack,generated
flip the red block to the shelf,rotate,generated
put the red cube on the shelf,put,generated
go to the center without touching the red cube,avoid,generated
stack the red cube on the blue cube,stack,generated
flip the blue cylinder horizontally,rotate,manual
group all red balls together,sort,generated
put the red ball on top of the blue cylinder,stack,manual
arrange the blocks in a row by color,sort,manual
head to the corner,move,generated
navigate to the left side,move,generated
put the red block on the table,put,manual
go to the center carefully avoiding the red sphere,avoid,manual
push the red block to the table,push,generated
navigate around the red sphere to the right side,avoid,manual
push the red cube to the center,push,generated
go back to the initial configuration,reset,manual
arrange the red objects on the left side,sort,generated
can you spot the green sphere?,find,manual
return all objects to where they were,reset,manual
approach the table slowly,move,manual
reset the blue cube to start,reset,generated
grab the red cube carefully,pick,manual
set the red cube on the center,put,generated
nudge the green block a little to the right,push,manual
reposition yourself to the right side,move,manual
place the yellow sphere on top of the green cube,stack,manual
separate the red bottles from the rest,sort,generated
rotate the red block clockwise,rotate,generated
navigate to the right side,move,manual
