instruction,type
hoist the red cylinder up,lift
push the green cylinder to the corner,push
lift the blue box up,lift
push the blue cylinder to the center,push
drag the blue sphere to the table,pull
set the red sphere down on the left side,lower
hoist the yellow box up,lift
move toward the corner,move
get the red box,pick
hoist the blue cylinder up,lift
pull the green sphere to the center,pull
push the red box to the left side,push
move to the center,move
hoist the green sphere up,lift
drag the yellow sphere to the corner,pull
navigate to the center,move
descend the blue box to the right side,lower
lower the yellow box to the corner,lower
draw the red box toward the left side,pull
bring the blue box down,lower
push the red sphere to the table,push
pull the yellow sphere to the corner,pull
pull the blue sphere toward you,pull
push the blue sphere aside,push
pull the yellow box to the center,pull
pick the red sphere,pick
go to the center,move
push the green sphere to the table,push
draw the yellow cylinder toward the table,pull
approach the left corner,move
hoist the green cylinder up,lift
set the blue sphere down on the center,lower
move to where the red box is,move
set the green sphere on the corner,place
get the red sphere,pick
place the red sphere on the right side,place
raise the blue sphere,lift
head to the right side,move
draw the yellow cylinder toward the center,pull
lift the yellow sphere off the table,lift
move to the right end,move
push the yellow cylinder to the center,push
hoist the red box up,lift
pick the green box,pick
lower the yellow box to the left side,lower
put the yellow box on the left side,place
lift the blue cylinder off the table,lift
put the green box on the right side,place
push the green box to the center,push
place the blue sphere on the table,place
push the yellow cylinder toward the center,push
pick the yellow box,pick
take the red sphere,pick
get the blue box,pick
push the blue box to the corner,push
push the green sphere to the left side,push
raise the yellow sphere,lift
go to the left end of the table,move
hoist the blue box up,lift
drop the blue box on the left side,place
drop the green cylinder on the table,place
lift the red sphere off the table,lift
push the green cylinder to the table,push
pull the blue sphere to the corner,pull
navigate to the left corner,move
take the yellow box,pick
set the blue box on the corner,place
raise the green sphere,lift
draw the blue cylinder toward the center,pull
move the arm to the table,move
grab the green box,pick
lower the blue cylinder to the corner,lower
push the blue cylinder aside,push
raise the red box,lift
get the yellow cylinder,pick
get the red cylinder,pick
descend the green sphere to the table,lower
descend the blue box to the table,lower
lower the red cylinder to the right side,lower
head to the corner,move
draw the blue box toward the right side,pull
pull the blue box to the left side,pull
bring the blue sphere down,lower
draw the red cylinder toward the corner,pull
pull the yellow sphere toward you,pull
navigate to the table,move
push the red box toward the center,push
drop the red sphere on the table,place
get the green box,pick
pull the red cylinder to the table,pull
place the green cylinder on the left side,place
push the blue cylinder toward the corner,push
take the blue box,pick
take the yellow sphere,pick
hoist the yellow sphere up,lift
pick the green sphere,pick
descend the yellow cylinder to the left side,lower
drag the yellow sphere to the center,pull
bring the yellow cylinder down,lower
pick the yellow cylinder,pick
lift the green cylinder off the table,lift
raise the yellow box,lift
pull the red cylinder to the center,pull
push the yellow sphere to the center,push
lower the blue sphere to the center,lower
head to the left corner,move
drop the blue sphere on the table,place
go to the right corner,move
go near the blue object,move
pick the yellow sphere,pick
put the green cylinder on the right side,place
grab the red sphere,pick
push the yellow sphere aside,push
grab the red cylinder,pick
set the green sphere down on the right side,lower
set the yellow cylinder down on the center,lower
pull the green box to the center,pull
descend the blue cylinder to the left side,lower
pull the yellow cylinder to the left side,pull
pull the red box to the table,pull
draw the blue sphere toward the left side,pull
set the green cylinder down on the table,lower
hoist the yellow cylinder up,lift
set the yellow cylinder down on the left side,lower
lower the blue box to the right side,lower
lift the yellow cylinder up,lift
pull the red cylinder toward you,pull
push the green sphere toward the table,push
take the yellow cylinder,pick
drag the red cylinder to the right side,pull
push the red sphere toward the corner,push
hoist the red sphere up,lift
head to the left side,move
place the green box on the center,place
take the green cylinder,pick
grab the blue box on the left,pick
put the red cylinder on the table,place
drag the green cylinder to the right side,pull
get the yellow box,pick
lift the yellow cylinder off the table,lift
put the blue sphere on the center,place
put the green sphere on the center,place
lift the blue sphere off the table,lift
lift the blue sphere up,lift
get the blue sphere,pick
drop the red sphere on the corner,place
lift the green box up,lift
push the blue sphere toward the left side,push
lower the blue box to the table,lower
move to the center of the table,move
set the red box down on the right side,lower
lift the green sphere off the table,lift
set the red sphere on the center,place
put the blue cylinder on the center,place
push the green cylinder to the left side,push
push the yellow cylinder to the right side,push
lower the red box to the right side,lower
push the blue box to the table,push
push the green sphere toward the left side,push
put the red box on the right side,place
take the red box from the table,pick
drag the green sphere to the table,pull
raise the red sphere,lift
pick the green cylinder,pick
set the blue sphere down on the right side,lower
push the yellow cylinder to the table,push
lift the blue cylinder up,lift
pull the blue box to the right side,pull
set the blue box down on the right side,lower
raise the blue box,lift
lower the red box to the left side,lower
push the blue cylinder toward the center,push
go to the edge of the table,move
push the yellow box to the left side,push
place the yellow box on the right side,place
put the red box on the center,place
descend the red cylinder to the right side,lower
pull the blue sphere to the right side,pull
move the arm to home position,move
set the red box down on the left side,lower
grab the yellow box,pick
push the red box toward the right side,push
put the red box on the table,place
go to the corner,move
raise the green box,lift
navigate to the corner,move
